Season,week,Home.Team,Road.Team,Home.Points,Road.Points,Vegas.H.R,H.R.pts,Halftime.H.R,Home.win
2010,13,Tennessee,Jacksonville,6,17,2,-11,-17,road win
2010,13,Green Bay,San Francisco,34,16,9.5,18,1,home win
2010,13,Miami,Cleveland,10,13,4,-3,0,road win
2010,13,Minnesota,Buffalo,38,14,6,24,24,home win
2010,13,Detroit,Chicago,20,24,-4,-4,3,road win
2010,13,Cincinnati,New Orleans,30,34,-7,-4,-7,road win
2010,13,San Diego,Oakland,13,28,13,-15,-18,road win
2010,13,Seattle,Carolina,31,14,6,17,-11,home win
2010,13,Arizona,St. Louis,6,19,-3.5,-13,-3,road win
2010,13,Indianapolis,Dallas,35,38,6,-3,-10,road win
2010,13,Baltimore,Pittsburgh,10,13,3,-3,7,road win
2010,13,New England,NY Jets,45,3,3.5,42,21,home win
2010,14,Tennessee,Indianapolis,28,30,-3,-2,-14,road win
2010,14,Minnesota,NY Giants,3,21,-3,-18,-11,road win
2010,14,Buffalo,Cleveland,13,6,0,7,4,home win
2010,14,Chicago,New England,7,36,-3,-29,-33,road win
2010,14,Detroit,Green Bay,7,3,-6.5,4,0,home win
2010,14,Washington,Tampa Bay,16,17,-1.5,-1,7,road win
2010,14,Carolina,Atlanta,10,31,-7,-21,-17,road win
2010,14,Jacksonville,Oakland,38,31,3.5,7,-10,home win
2010,14,Pittsburgh,Cincinnati,23,7,8.5,16,3,home win
2010,14,San Francisco,Seattle,40,21,5.5,19,23,home win
2010,14,New Orleans,St. Louis,31,13,9,18,15,home win
2010,14,San Diego,Kansas City,31,0,9.5,31,21,home win
2010,14,Arizona,Denver,43,13,-4,30,13,home win
2010,14,NY Jets,Miami,6,10,5.5,-4,-7,road win
2010,14,Dallas,Philadelphia,27,30,-3.5,-3,-4,road win
2010,14,Houston,Baltimore,28,34,-3,-6,-14,road win
2010,15,San Diego,San Francisco,34,7,10,27,17,home win
2010,15,NY Giants,Philadelphia,31,38,2,-7,21,road win
2010,15,Carolina,Arizona,19,12,2,7,10,home win
2010,15,Baltimore,New Orleans,30,24,1,6,7,home win
2010,15,Tampa Bay,Detroit,20,23,5,-3,4,road win
2010,15,Dallas,Washington,33,30,8,3,13,home win
2010,15,Cincinnati,Cleveland,19,17,1,2,3,home win
2010,15,St. Louis,Kansas City,13,27,2,-14,-8,road win
2010,15,Miami,Buffalo,14,17,5,-3,-3,road win
2010,15,Tennessee,Houston,31,17,1,14,21,home win
2010,15,Indianapolis,Jacksonville,34,24,4,10,4,home win
2010,15,Seattle,Atlanta,18,34,-6,-16,-7,road win
2010,15,Pittsburgh,NY Jets,17,22,5,-5,0,road win
2010,15,Oakland,Denver,39,23,7,16,0,home win
2010,15,New England,Green Bay,31,27,14,4,-3,home win
2010,15,Minnesota,Chicago,14,40,6,-26,-10,road win
2010,16,Pittsburgh,Carolina,27,3,14,24,20,home win
2010,16,Arizona,Dallas,27,26,-7,1,11,home win
2010,16,Philadelphia,Minnesota,14,24,14,-10,0,road win
2010,16,Tampa Bay,Seattle,38,15,-6,23,10,home win
2010,16,Jacksonville,Washington,17,20,7,-3,-3,road win
2010,16,Miami,Detroit,27,34,3,-7,7,road win
2010,16,St. Louis,San Francisco,25,17,2,8,-2,home win
2010,16,Kansas City,Tennessee,34,14,4,20,24,home win
2010,16,Chicago,NY Jets,38,34,2,4,-7,home win
2010,16,Buffalo,New England,3,34,-7,-31,-21,road win
2010,16,Cleveland,Baltimore,10,20,-3,-10,-3,road win
2010,16,Denver,Houston,24,23,-2,1,-17,home win
2010,16,Oakland,Indianapolis,26,31,-2,-5,-4,road win
2010,16,Green Bay,NY Giants,45,17,3,28,7,home win
2010,16,Cincinnati,San Diego,34,20,-7,14,10,home win
2010,16,Atlanta,New Orleans,14,17,2,-3,-3,road win
2010,17,Atlanta,Carolina,31,10,14,21,21,home win
2010,17,Detroit,Minnesota,20,13,3,7,10,home win
2010,17,Green Bay,Chicago,10,3,11,7,-3,home win
2010,17,Cleveland,Pittsburgh,9,41,-6,-32,-28,road win
2010,17,Indianapolis,Tennessee,23,20,9,3,7,home win
2010,17,Kansas City,Oakland,10,31,4,-21,-7,road win
2010,17,New England,Miami,38,7,4,31,24,home win
2010,17,Washington,NY Giants,14,17,-4,-3,-3,road win
2010,17,Houston,Jacksonville,34,17,-4,17,3,home win
2010,17,Baltimore,Cincinnati,13,7,9,6,6,home win
2010,17,Philadelphia,Dallas,13,14,-2,-1,0,road win
2010,17,New Orleans,Tampa Bay,13,23,7,-10,-3,road win
2010,17,NY Jets,Buffalo,38,7,1,31,17,home win
2010,17,San Francisco,Arizona,38,7,6,31,3,home win
2010,17,Seattle,St. Louis,16,6,3,10,4,home win
2010,17,Denver,San Diego,28,33,-4,-5,-9,road win
